mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	4.0	-1	4/4	1	0						firstMeasure	2
2	2	4	4	4.0	-1	4/4	1	0							3
3	3	8	8	4.0	-1	4/4	1	0							4
4	4	12	12	4.0	-1	4/4	1	0							5
5	5	16	16	4.0	-1	4/4	1	0							6
6	6	20	20	4.0	-1	4/4	1	0							7
7	7	24	24	4.0	-1	4/4	1	0							8
8	8	28	28	4.0	-1	4/4	1	0							9
9	9	32	32	4.0	-1	4/4	1	0							10
10	10	36	36	4.0	-1	4/4	1	0							11
11	11	40	40	4.0	-1	4/4	1	0				double			12
12	12	44	44	4.0	-1	4/4	1	0							13
13	13	48	48	4.0	-1	4/4	1	0							14
14	14	52	52	4.0	-1	4/4	1	0							15
15	15	56	56	4.0	-1	4/4	1	0							16
16	16	60	60	4.0	-1	4/4	1	0							17
17	17	64	64	4.0	-1	4/4	1	0							18
18	18	68	68	4.0	-1	4/4	1	0							19
19	19	72	72	4.0	-1	4/4	1	0							20
20	20	76	76	4.0	-1	4/4	1	0							21
21	21	80	80	4.0	-1	4/4	1	0							22
22	22	84	84	4.0	-1	4/4	1	0							23
23	23	88	88	4.0	-1	4/4	1	0							24
24	24	92	92	4.0	-1	4/4	1	0							25
25	25	96	96	4.0	-1	4/4	1	0							26
26	26	100	100	4.0	-1	4/4	1	0							27
27	27	104	104	4.0	-1	4/4	1	0							28
28	28	108	108	4.0	-1	4/4	1	0							29
29	29	112	112	4.0	-1	4/4	1	0							30
30	30	116	116	4.0	-1	4/4	1	0							31
31	31	120	120	4.0	-1	4/4	1	0							32
32	32	124	124	4.0	-1	4/4	1	0							33
33	33	128	128	4.0	-1	4/4	1	0					line		34
34	34	132	132	9.0	-1	4/4	9/4	0							35
35	34	141	141	5.25	-1	4/4	21/16	0			1				36
36	35	585/4	585/4	4.0	-1	4/4	1	0							37
37	36	601/4	601/4	4.0	-1	4/4	1	0							38
38	37	617/4	617/4	4.0	-1	4/4	1	0							39
39	38	633/4	633/4	4.0	-1	4/4	1	0							40
40	39	649/4	649/4	4.0	-1	4/4	1	0							41
41	40	665/4	665/4	4.0	-1	4/4	1	0							42
42	41	681/4	681/4	4.0	-1	4/4	1	0							43
43	42	697/4	697/4	4.0	-1	4/4	1	0							44
44	43	713/4	713/4	4.0	-1	4/4	1	0					line		45
45	44	729/4	729/4	4.0	-1	4/4	1	0							46
46	44	745/4	745/4	4.0	-1	4/4	1	0			1				47
47	44	761/4	761/4	4.0	-1	4/4	1	0			1				48
48	44	777/4	777/4	4.0	-1	4/4	1	0			1				49
49	44	793/4	793/4	6.375	-1	4/4	51/32	0			1				50
50	45	1637/8	1637/8	4.0	-1	4/4	1	0							51
51	46	1669/8	1669/8	4.0	-1	4/4	1	0							52
52	47	1701/8	1701/8	4.0	-1	4/4	1	0							53
53	48	1733/8	1733/8	4.0	-1	4/4	1	0							54
54	49	1765/8	1765/8	4.0	-1	4/4	1	0							55
55	50	1797/8	1797/8	4.0	-1	4/4	1	0							56
56	51	1829/8	1829/8	4.0	-1	4/4	1	0							57
57	52	1861/8	1861/8	4.0	-1	4/4	1	0							58
58	53	1893/8	1893/8	4.25	-1	4/4	17/16	0							59
59	54	1927/8	1927/8	4.0	-1	4/4	1	0							60
60	55	1959/8	1959/8	2.0	2	2/4	1/2	0						start	61
61	56	1975/8	1975/8	2.0	2	2/4	1/2	0							62
62	57	1991/8	1991/8	2.0	2	2/4	1/2	0							63
63	58	2007/8	2007/8	2.0	2	2/4	1/2	0							64
64	59	2023/8	2023/8	2.0	2	2/4	1/2	0							65
65	60	2039/8	2039/8	2.0	2	2/4	1/2	0							66
66	61	2055/8	2055/8	2.0	2	2/4	1/2	0							67
67	62	2071/8	2071/8	2.0	2	2/4	1/2	0						end	60, 68
68	63	2087/8	2087/8	2.0	2	2/4	1/2	0						start	69
69	64	2103/8	2103/8	2.0	2	2/4	1/2	0							70
70	65	2119/8	2119/8	2.0	2	2/4	1/2	0							71
71	66	2135/8	2135/8	2.0	2	2/4	1/2	0							72
72	67	2151/8	2151/8	2.0	2	2/4	1/2	0							73
73	68	2167/8	2167/8	2.0	2	2/4	1/2	0							74
74	69	2183/8	2183/8	2.0	2	2/4	1/2	0							75, 76
75	70		2199/8	2.0	2	2/4	1/2	0	1					end	68
76	70	2199/8	2215/8	2.0	2	2/4	1/2	0	2		1				77
77	71	2215/8	2231/8	2.0	2	2/4	1/2	0							78
78	72	2231/8	2247/8	2.0	2	2/4	1/2	0							79
79	73	2247/8	2263/8	2.0	2	2/4	1/2	0							80
80	74	2263/8	2279/8	2.0	2	2/4	1/2	0							81
81	75	2279/8	2295/8	2.0	2	2/4	1/2	0							82
82	76	2295/8	2311/8	2.0	2	2/4	1/2	0							83
83	77	2311/8	2327/8	2.0	2	2/4	1/2	0							84
84	78	2327/8	2343/8	2.0	2	2/4	1/2	0							85
85	79	2343/8	2359/8	2.0	2	2/4	1/2	0							86
86	80	2359/8	2375/8	2.0	2	2/4	1/2	0							87
87	81	2375/8	2391/8	2.0	2	2/4	1/2	0							88
88	82	2391/8	2407/8	2.0	2	2/4	1/2	0							89
89	83	2407/8	2423/8	2.0	2	2/4	1/2	0							90
90	84	2423/8	2439/8	2.0	2	2/4	1/2	0							91
91	85	2439/8	2455/8	2.0	2	2/4	1/2	0					line		92
92	86	2455/8	2471/8	2.0	2	2/4	1/2	0							93
93	86	2471/8	2487/8	2.0	2	2/4	1/2	0			1				94
94	86	2487/8	2503/8	2.0	2	2/4	1/2	0			1		line		95
95	86	2503/8	2519/8	8.375	2	2/4	67/32	0			1				96
96	87	1285/4	1293/4	2.0	2	2/4	1/2	0							97
97	88	1293/4	1301/4	2.0	2	2/4	1/2	0							98
98	89	1301/4	1309/4	2.0	2	2/4	1/2	0							99
99	90	1309/4	1317/4	2.0	2	2/4	1/2	0							100
100	91	1317/4	1325/4	2.0	2	2/4	1/2	0							101
101	92	1325/4	1333/4	2.0	2	2/4	1/2	0							102
102	93	1333/4	1341/4	2.0	2	2/4	1/2	0							103
103	94	1341/4	1349/4	2.0	2	2/4	1/2	0							104
104	95	1349/4	1357/4	2.0	2	2/4	1/2	0							105
105	96	1357/4	1365/4	2.0	2	2/4	1/2	0							106
106	97	1365/4	1373/4	2.0	2	2/4	1/2	0							107
107	98	1373/4	1381/4	2.0	2	2/4	1/2	0							108
108	99	1381/4	1389/4	2.0	2	2/4	1/2	0							109
109	100	1389/4	1397/4	2.0	2	2/4	1/2	0							110
110	101	1397/4	1405/4	2.0	2	2/4	1/2	0							111
111	102	1405/4	1413/4	2.0	2	2/4	1/2	0							112
112	103	1413/4	1421/4	2.0	2	2/4	1/2	0							113
113	104	1421/4	1429/4	2.0	2	2/4	1/2	0							114
114	105	1429/4	1437/4	2.0	2	2/4	1/2	0							115
115	106	1437/4	1445/4	2.0	2	2/4	1/2	0							116
116	107	1445/4	1453/4	2.0	2	2/4	1/2	0				end		lastMeasure	-1
